carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61
0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48
0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62
0.9,Good,I,SI2,62.2,59.0,2800,6.07,6.11,3.79
0.71,Good,F,VS2,57.8,60.0,2801,5.9,5.87,3.4
0.71,Good,F,VS2,63.8,58.0,2801,5.64,5.61,3.59
0.7,Good,G,VS1,65.1,58.0,2803,5.56,5.59,3.63
0.82,Good,G,VS2,64.0,57.0,2805,5.92,5.89,3.78
0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51
0.8,Good,G,SI1,62.7,57.0,2810,5.84,5.93,3.69
0.7,Good,E,SI1,63.5,59.0,2812,5.49,5.53,3.5
0.3,Good,H,SI1,63.8,55.0,554,4.26,4.2,2.7
0.32,Good,I,SI1,63.9,55.0,554,4.36,4.34,2.78
0.91,Good,I,VS2,64.3,58.0,2813,6.09,6.05,3.9
0.71,Good,D,VS1,63.4,55.0,2816,5.61,5.69,3.58
0.71,Good,E,SI1,62.8,64.0,2817,5.6,5.54,3.5
