carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6
0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72
0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31
0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17
0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55
0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58
0.74,Ideal,H,VS1,61.6,56.0,2797,5.81,5.82,3.58
0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62
0.82,Ideal,F,SI2,62.4,54.0,2799,5.97,6.02,3.74
0.78,Ideal,D,SI1,61.9,57.0,2799,5.91,5.86,3.64
0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76
0.83,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74
0.79,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67
0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39
0.96,Ideal,F,I1,60.7,55.0,2801,6.37,6.41,3.88
0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61
0.75,Ideal,H,SI1,60.4,57.0,2801,5.93,5.96,3.59
0.53,Ideal,F,IF,61.9,54.0,2802,5.22,5.25,3.24
0.71,Ideal,G,VS2,61.3,56.0,2803,5.75,5.71,3.51
0.73,Ideal,E,SI1,60.6,54.0,2803,5.84,5.89,3.55
0.91,Ideal,D,SI2,62.2,57.0,2803,6.21,6.15,3.85
0.72,Ideal,F,VS1,61.7,57.0,2804,5.74,5.77,3.55
0.82,Ideal,H,VS2,61.5,56.0,2804,6.01,6.08,3.72
0.7,Ideal,D,SI1,61.0,59.0,2804,5.68,5.7,3.47
0.72,Ideal,D,SI1,62.2,56.0,2804,5.74,5.77,3.58
0.72,Ideal,D,SI1,61.5,54.0,2804,5.77,5.8,3.56
0.73,Ideal,E,SI2,61.8,58.0,2805,5.77,5.81,3.58
0.72,Ideal,G,VS2,62.8,56.0,2805,5.74,5.7,3.59
0.7,Ideal,F,SI1,61.6,55.0,2806,5.72,5.74,3.53
0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72
0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7
0.3,Ideal,H,SI1,62.9,57.0,554,4.27,4.22,2.67
0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95
0.34,Ideal,H,VS2,61.5,56.0,555,4.47,4.5,2.76
0.34,Ideal,H,VS2,60.4,57.0,555,4.54,4.57,2.75
0.34,Ideal,I,VS1,61.8,55.0,555,4.48,4.52,2.78
0.34,Ideal,I,VS1,62.0,56.0,555,4.5,4.53,2.8
0.3,Ideal,G,VS1,62.3,56.0,555,4.29,4.31,2.68
0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
0.35,Ideal,G,SI1,60.6,56.0,555,4.56,4.58,2.77
0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82
0.3,Ideal,G,VS2,62.0,56.0,556,4.28,4.3,2.66
0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52
0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56
