carat,cut,color,clarity,depth,table,price,x,y,z
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64
0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6
0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57
0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58
1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83
0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57
0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52
0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52
0.8,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67
0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5
0.74,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59
0.73,Premium,F,VS2,62.7,58.0,2801,5.76,5.7,3.59
0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53
0.71,Premium,F,VS2,62.8,57.0,2801,5.69,5.64,3.56
1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0
1.0,Premium,J,SI2,62.3,58.0,2801,6.45,6.34,3.98
0.72,Premium,E,VS2,63.0,55.0,2802,5.79,5.61,3.59
0.72,Premium,F,VS1,62.4,58.0,2802,5.83,5.7,3.6
0.71,Premium,F,VS2,62.6,58.0,2803,5.7,5.67,3.56
0.71,Premium,F,VS2,58.0,62.0,2803,5.85,5.81,3.38
0.71,Premium,G,VS1,62.4,61.0,2803,5.7,5.65,3.54
0.77,Premium,G,VS2,61.3,57.0,2803,5.93,5.88,3.62
0.71,Premium,G,VS2,59.9,60.0,2803,5.81,5.77,3.47
0.78,Premium,G,VS2,60.8,58.0,2803,6.03,5.95,3.64
0.74,Premium,F,VS2,61.7,58.0,2805,5.85,5.78,3.59
0.74,Premium,F,VS2,61.9,56.0,2805,5.8,5.77,3.58
0.73,Premium,F,VS2,62.5,57.0,2805,5.75,5.7,3.58
0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84
0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61
0.71,Premium,F,SI1,60.7,54.0,2809,5.84,5.8,3.53
0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73
0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74
0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67
0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62
0.3,Premium,H,SI1,60.1,55.0,554,4.41,4.38,2.64
0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68
0.73,Premium,E,VS2,58.6,60.0,2812,5.92,5.89,3.46
0.91,Premium,G,SI2,59.8,58.0,2813,6.3,6.29,3.77
0.76,Premium,E,SI1,62.2,59.0,2814,5.86,5.81,3.63
0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
0.74,Premium,G,VS1,61.7,58.0,2815,5.79,5.81,3.58
