carat,cut,color,clarity,depth,table,price,x,y,z
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53
0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66
0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67
0.8,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72
0.83,Very Good,E,SI2,58.0,62.0,2799,6.19,6.25,3.61
0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35
0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8
0.83,Very Good,H,SI1,62.5,59.0,2800,5.95,6.02,3.74
0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72
0.7,Very Good,F,VS2,62.9,58.0,2803,5.63,5.65,3.55
0.74,Very Good,E,SI1,63.5,56.0,2803,5.74,5.79,3.66
0.71,Very Good,G,VS1,63.5,55.0,2803,5.66,5.64,3.59
0.71,Very Good,E,VS2,63.8,58.0,2804,5.62,5.66,3.6
0.71,Very Good,E,VS2,64.0,57.0,2804,5.66,5.68,3.63
0.8,Very Good,E,SI2,62.5,56.0,2804,5.88,5.96,3.7
0.7,Very Good,D,SI1,62.3,58.0,2804,5.69,5.73,3.56
0.72,Very Good,F,VS1,62.2,58.0,2804,5.75,5.7,3.56
