key,field,type,sum,min,max,range,min_length,max_length,mean,stddev,variance,nullcount,sparsity
VeryGood,carat,Float,9742.7,0.2,4.0,3.8,3,4,0.8064,0.4594,0.2111,0,0
VeryGood,cut,String,,Very Good,Very Good,,9,9,,,,0,0
VeryGood,color,String,,D,J,,1,1,,,,0,0
VeryGood,clarity,String,,I1,VVS2,,2,4,,,,0,0
VeryGood,depth,Float,746888.4,56.8,64.9,8.1,4,4,61.8183,1.3786,1.9005,0,0
VeryGood,table,Float,700226.2,44.0,66.0,22,4,4,57.9561,2.1214,4.5002,0,0
VeryGood,price,Integer,48107623,336,18818,18482,3,5,3981.7599,3935.6993,15489728.7908,0,0
VeryGood,x,Float,69359.09,0.0,10.01,10.01,3,5,5.7407,1.1008,1.2117,0,0
VeryGood,y,Float,69713.45,0.0,9.94,9.94,3,4,5.77,1.1029,1.2163,0,0
VeryGood,z,Float,43009.52,0.0,31.8,31.8,3,4,3.5598,0.7302,0.5332,0,0
